Winner,Loser
The Citadel,Mid-Atlantic Christ.
Troy,UAB
Valparaiso,Trinity Christian
Washington,Mt. St. Mary's
Weber St.,Antelope Valley
William & Mary,Washington Adventist
Michigan St.,Ark.-Pine Bluff
Auburn,Ga. Southern
Baylor,Jackson St.
Bryant,Prairie View
Temple,Butler
Arkansas,Charleston So.
South Carolina,DePaul
Iona,Delaware
VCU,Duke
Duquesne,Penn St.
Villanova,ETSU
California,East Carolina
Eastern Ky.,Ball St.
Eastern Mich.,Siena Heights
James Madison,FIU
Northeastern,Fla. Atlantic
Hampton,Appalachian St.
Florida St.,Hofstra
Washington St.,Idaho St.
Jacksonville,Florida Col.
Kentucky,Wright St.
Miami (OH),Lipscomb
Virginia,Long Beach St.
South Carolina St.,Longwood
Alabama,Louisiana
Oklahoma,McNeese
Howard,Medgar Evers
Utah,Miami (FL)
Milwaukee,Trinity Int'l
Minnesota,Missouri St.
Georgia,Murray St.
Indiana St.,Norfolk St.
Embry-Riddle (AZ),Northern Ariz.
Northwestern,Columbia
Ohio St.,UT Arlington
George Mason,Oklahoma St.
Oregon,Savannah St.
Pittsburgh,Detroit Mercy
Colorado,Portland
Maryland,Rider
Montana St.,San Jose St.
Bradley,Seton Hall
Radford,Siena
Kansas St.,South Dakota
Mississippi St.,Texas Tech
Ole Miss,Towson
Ohio,Tulsa
Oral Roberts,UT Martin
Utah Valley,Antelope Valley
West Virginia,Stetson
Winthrop,Jacksonville St.
Georgetown,Wisconsin
Michigan,Xavier
Alabama A&M,Oakwood
Cal Poly,Austin Peay
Richmond,Bethune-Cookman
Providence,Brown
N.C. A&T,Buffalo
Cal St. Fullerton,San Diego
Rutgers,Central Ark.
Illinois,Chattanooga
Chicago St.,Trinity Int'l
Rhode Island,Cleveland St.
Coastal Caro.,Piedmont Int'l
Davidson,Col. of Charleston
Canisius,Cornell
Delaware St.,Lamar University
Drake,UMKC
Eastern Ill.,Western Ill.
Evansville,Belmont
Miami (OH),Fla. Atlantic
DePaul,Florida St.
Fordham,Fairleigh Dickinson
Fort Wayne,SIUE
Gonzaga,Mt. St. Mary's
Grambling,Louisiana Tech
High Point,Western Caro.
Houston,Florida A&M
Illinois St.,Houston Baptist
Idaho,Linfield
IUPUI,Kentucky St.
NJIT,Lafayette
Liberty,Central Penn
Northeastern,Lipscomb
Ball St.,Longwood
Loyola Chicago,Toledo
St. Bonaventure,Loyola Maryland
Manhattan,Bucknell
Kent St.,Marist
Tennessee St.,Middle Tenn.
New Mexico St.,Mississippi Val.
Drexel,Monmouth
Montana,Carroll (MT)
Campbell,Morgan St.
Pacific,Nevada
Vermont,Niagara
UNI,North Carolina
Bowling Green,North Dakota
Louisville,North Florida
Northern Ill.,Eureka
Northern Ky.,Morehead St.
Notre Dame,UMass Lowell
Norfolk St.,Ohio
Purdue,Old Dominion
James Madison,Oral Roberts
Presbyterian,The Citadel
Prairie View,Radford
Fairfield,Sacred Heart
Saint Francis (PA),American
Florida,Saint Joseph's
Saint Louis,St. Francis Brooklyn
