Date,Industry,ret
1928-07-01,Other,-0.36
1928-07-01,HiTec,0.65
1928-08-01,Utils,6.46
1928-08-01,Durbl,9.04
1928-08-01,HiTec,9.75
1928-08-01,Manuf,8.67
1928-08-01,Hlth,14.57
1928-08-01,Enrgy,2.41
1928-08-01,Telcm,4.55
1928-08-01,NoDur,6.11
1928-08-01,Shops,13.53
1928-08-01,Other,4.75
1928-09-01,Other,1.98
1928-09-01,HiTec,0.66
1928-09-01,Enrgy,5.34
1928-09-01,Shops,0.17
1928-09-01,Telcm,0.15
1928-09-01,Utils,3.76
1928-09-01,Durbl,7.88
1928-09-01,Manuf,4.17
1928-09-01,Hlth,-1.14
1928-09-01,NoDur,1.14
1928-10-01,NoDur,0.9
1928-10-01,Manuf,4.33
1928-10-01,Telcm,2.97
1928-10-01,Enrgy,2.04
1928-10-01,Hlth,0.05
1928-10-01,Utils,-1.89
1928-10-01,Durbl,0.08
1928-10-01,Other,-0.42
1928-10-01,HiTec,1.85
1928-10-01,Shops,5.9
1928-11-01,Manuf,13.08
1928-11-01,Enrgy,17.23
1928-11-01,NoDur,6.62
1928-11-01,HiTec,19.56
1928-11-01,Shops,15.29
1928-11-01,Other,10.02
1928-11-01,Durbl,4.51
1928-11-01,Hlth,5.05
1928-11-01,Telcm,6.68
1928-11-01,Utils,21.93
1928-12-01,Enrgy,-4.36
1928-12-01,Manuf,3.08
1928-12-01,Hlth,-0.41
1928-12-01,Durbl,-1.22
1928-12-01,Utils,1.57
1928-12-01,Other,0.45
1928-12-01,Shops,-1.32
1928-12-01,HiTec,7.13
1928-12-01,Telcm,-0.38
1928-12-01,NoDur,-0.52
1929-01-01,Hlth,3.43
1929-01-01,Other,5.59
1929-01-01,Durbl,1.3
1929-01-01,HiTec,10.46
1929-01-01,Enrgy,-7.59
1929-01-01,Shops,-3.88
1929-01-01,Manuf,11.02
1929-01-01,NoDur,3.38
1929-01-01,Telcm,13.38
1929-01-01,Utils,13.17
1929-02-01,Utils,-1.99
1929-02-01,Durbl,-0.03
1929-02-01,Manuf,3.4
1929-02-01,NoDur,-2.62
1929-02-01,Shops,-2.41
1929-02-01,HiTec,-0.71
1929-02-01,Telcm,-1.15
1929-02-01,Hlth,0.05
1929-02-01,Other,0.02
1929-02-01,Enrgy,-0.1
1929-03-01,HiTec,4.5
1929-03-01,Enrgy,11.03
1929-03-01,Durbl,-1.88
1929-03-01,Other,-2.16
1929-03-01,Manuf,-1.83
1929-03-01,Telcm,4.29
1929-03-01,Hlth,-1.5
1929-03-01,Utils,-3.17
1929-03-01,NoDur,-4.62
1929-03-01,Shops,-5.13
1929-04-01,Durbl,-0.98
1929-04-01,Shops,3.75
1929-04-01,Telcm,3.39
1929-04-01,NoDur,1.8
1929-04-01,Manuf,2.3
1929-04-01,HiTec,1.78
1929-04-01,Hlth,1.48
