name,country,gender,birth_year
Fred Van Oystaeyen,Belgium,male,1947
Kathleen Antonelli,United States of America,female,1921
Kurt Otto Friedrichs,"Germany, United States of America",male,1901
Luigi Guido Grandi,,male,1671
Roger Evans Howe,United States of America,male,1945
Stanisław Trybuła,Poland,male,1932
Brosl Hasslacher,United States of America,male,1941
Christine Ladd-Franklin,United States of America,female,1847
Nicolas Courtois,France,male,1971
Brooke Benjamin,United Kingdom,male,1929
Pierre Dangicourt,France,male,1664
Michael Makkai,Canada,male,1939
Zvi Arad,Israel,male,1942
Robert Tucker (mathematician),United Kingdom,male,1832
Harley Flanders,United States of America,male,1925
Henry Forder,New Zealand,male,1889
George Peacock,United Kingdom,male,1791
Elena Cornaro Piscopia,,female,1646
Yakov Eliashberg,"Russia, Soviet Union",male,1946
N. M. H. Lightfoot,,male,1902
Leonid Bunimovich,"United States of America, Soviet Union",male,1947
Joseph Sauveur,France,male,1653
John Law (bishop),,male,1745
Laura Martignon,,female,
Pasquale Joseph Federico,United States of America,male,1902
Stephen Smale,United States of America,male,1930
Manava,,male,-750
Victor Pan,United States of America,male,
Mike Alder,Australia,male,
Gyula Pál,"Hungary, Denmark",male,1881
Charles Weibel,United States of America,male,1950
Sergio Albeverio,Switzerland,male,1939
Robert Sorgenfrey,United States of America,male,1915
Barry Simon,United States of America,male,1946
Sander P. Zwegers,Kingdom of the Netherlands,male,1975
Carl Benjamin Boyer,United States of America,male,1906
John Selfridge,United States of America,male,1927
Constantin Climescu,Romania,male,1844
Jeff Paris,United Kingdom,male,1944
Hermann Wilken,Germany,male,1522
Peter J. Freyd,United States of America,male,1936
Bartosz Piasecki,"Norway, Poland",male,1986
Václav E. Beneš,"United States of America, Czechoslovakia",male,1930
Daniel Schwenter,Germany,male,1585
Alexei Borodin,"Soviet Union, Russia",male,1975
Brendan Hassett,United States of America,male,
Gabriella Pinzari,,female,1966
Oreste Piro,"Argentina, Spain",male,1954
Béla Bollobás,"Hungary, United Kingdom",male,1943
Maithili Sharan,,male,1953
George F. Carrier,United States of America,male,1918
Griffith C. Evans,United States of America,male,1887
Edward Burger,United States of America,male,1964
Percy Alexander MacMahon,United Kingdom,male,1854
Askar Dzhumadildayev,,male,1956
S. Ramanan,India,male,1937
Piero della Francesca,Italy,male,1415
Louis J. Mordell,United States of America,male,1888
Peter Goddard (physicist),United Kingdom,male,1945
Merrilyn Goos,Australia,female,
Andreas Winter,Germany,male,1971
Samuel Jeake,,male,1623
Christian Doppler,Austria,male,1803
Ruth Gentry,,female,1862
Ignaz Schütz,,male,
Jill P. Mesirov,United States of America,female,
Jean Delsarte,France,male,1903
Shou-Wu Zhang,"""Peoples Republic of China""",male,1962
Henry Cabourn Pocklington,,male,1870
Søren Galatius,Denmark,male,1976
E. M. V. Krishnamurthy,,male,1934
George Gasper,United States of America,male,
Siegfried Heinrich Aronhold,Germany,male,1819
Alexandru Froda,Romania,male,1894
Alfred Goldie,United Kingdom,male,1920
Ernest Esclangon,France,male,1876
Philippe Michel (economist),France,male,1937
Friedrich Wilhelm Levi,Germany,male,1888
Daniel Ocone,United States of America,male,1953
Selman Akbulut,Turkey,male,1949
Harold Exton,,male,
Ioan Mire Melik,Romania,male,1840
Ivan Ivanov (mathematician),"Russian Empire, Soviet Union",male,1862
Martin Kreuzer,Germany,male,1962
Leonard Blumenthal,United States of America,male,1901
Steve Simpson (mathematician),United States of America,male,1945
Vladimir Burkov,Soviet Union,male,1939
Norman Matloff,United States of America,male,1948
Albert E. Green,United Kingdom,male,1912
Sergei Nikolaevich Chernikov,Russia,male,1912
Matthias Flach (mathematician),Germany,male,1963
Charles Louis de Fourcroy,France,male,1766
Eric Priest,United Kingdom,male,1943
Stefano Franscini,Switzerland,male,1796
Tom H. Koornwinder,Kingdom of the Netherlands,male,1943
Achi Brandt,Israel,male,1938
Geoffrey Watson,Australia,male,1921
Martin Barner,Germany,male,1921
Jinchao Xu,United States of America,male,1961
Alexandru Ghika,Romania,male,1902
Andrei Knyazev (mathematician),United States of America,male,1959
Donald A. Gillies,United Kingdom,male,1944
Sufiah Yusof,Malaysia,female,1984
Ludwig Maurer,Germany,male,1859
Johann Tobias Mayer,Germany,male,1752
Maria Gaetana Agnesi,Italy,female,1718
Oscar Chisini,Italy,male,1889
Sergey Mergelyan,Soviet Union,male,1928
Pierre de Fermat,France,male,1601
Krystyna Kuperberg,"Poland, United States of America",female,1944
Debashish Goswami,India,male,
Attilio Palatini,Italy,male,1889
Giovanni Giambelli,,male,1879
Hendrik Wade Bode,United States of America,male,1905
Richard MacDonnell (scholar),,male,1787
Edna Grossman,United States of America,female,1900
John Macnaghten Whittaker,United Kingdom,male,1905
Ian C. Percival,United Kingdom,male,1931
Giuseppe Vitali,Kingdom of Italy,male,1875
Ferran Sunyer i Balaguer,Spain,male,1912
Henri Milloux,France,male,1898
Llewellyn Thomas,United Kingdom,male,1903
Kenneth Kunen,United States of America,male,1943
Ernst Mayr (computer scientist),Germany,male,1950
Nikola Obreshkov,Bulgaria,male,1896
Denis Miéville,Switzerland,male,1946
John Maynard Smith,United Kingdom,male,1920
Frank Adcock,United Kingdom,male,1886
Barrett ONeill,,male,1924
Wendell Fleming,United States of America,male,1928
Andrew Ronald Mitchell,United Kingdom,male,1921
László Rédei,Hungary,male,1900
Harlan J. Brothers,United States of America,male,
Ibn al-Yasamin,,male,
William Jaco,United States of America,male,1940
James Dugundji,United States of America,male,1919
"John Fletcher Moulton, Baron Moulton",United Kingdom of Great Britain and Ireland,male,1844
Artur Shkurti,Albania,male,1968
Moses Botarel Farissol,,male,
Churchill Eisenhart,United States of America,male,1913
Boris Levin,Soviet Union,male,1906
François Le Lionnais,France,male,1901
Reuben Goodstein,United Kingdom,male,1912
Anthony Morse,United States of America,male,1911
Gyula O. H. Katona,Hungary,male,1941
Helmar Frank,Germany,male,1933
William Batchelder Greene,United States of America,male,1819
Trevor Pearcey,,male,1919
Margherita Piazzola Beloch,Italy,female,1879
Louise Duffield Cummings,United States of America,female,1870
John Pelesko,United States of America,male,
Gangesha Upadhyaya,,male,
Jürgen Jost,Germany,male,1956
Thomas Körner,United Kingdom,male,1946
Terence Gaffney,United States of America,male,1948
Edward Marczewski,Poland,male,1907
René-François de Sluse,,male,1622
Przemysław Prusinkiewicz,Poland,male,1952
Edwin F. Beckenbach,United States of America,male,1906
Philip Treisman,United States of America,male,
L. E. J. Brouwer,Kingdom of the Netherlands,male,1881
Irving Segal,United States of America,male,1918
Ernst Meissel,Germany,male,1826
Mario Bettinus,,male,1582
Nicolae Culianu,Romania,male,1832
Patricia Hersh,,female,
Wanda Szmielew,Poland,female,1918
Kurt Reidemeister,Germany,male,1893
Boris Tsirelson,Russia,male,1950
Robert D. Richtmyer,United States of America,male,1910
Paul Erdős,"Hungary, Austria-Hungary",male,1913
Nobuo Yoneda,Japan,male,1930
Georges Darmois,France,male,1888
Kenneth Arthur Stroud,England,male,1908
Alexander Johnson (mathematician),Canada,male,1830
Oyewusi Ibidapo-Obe,Nigeria,male,1951
Richard M. Goodwin,United States of America,male,1913
Shizuo Kakutani,Japan,male,1911
Howard Heys,Canada,male,
Martin Charles Golumbic,United States of America,male,1948
Gábor Tardos,Hungary,male,1964
Willi Rinow,Germany,male,1907
Robert G. Bartle,United States of America,male,1927
Michel Kervaire,"Switzerland, France",male,1927
George Henry Livens,,male,1886
Jaroslav Hájek,Czech Republic,male,1926
Bakul Kayastha,India,male,
Samuel Dickstein (mathematician),"Poland, Russian Empire",male,1851
Clément Mouhot,France,male,1978
Adolf Kneser,Germany,male,1862
Vojtěch Jarník,"Austria-Hungary, Czechoslovakia, Czechoslovak Socialist Republic",male,1897
Robert Daniel Carmichael,United States of America,male,1879
Serenus of Antinouplis,,male,300
Cheng Dawei,,male,1533
Frans van Schooten,Netherlands,male,1615
St George Ashe,,male,1658
Juan Bautista Villalpando,Spain,male,1552
Joe Harris (mathematician),United States of America,male,1951
Yael Dowker,Israel,female,1919
Subhash Khot,United States of America,male,1978
Wassily Hoeffding,United States of America,male,1914
Robert Wedderburn (statistician),United Kingdom,male,1947
Rutger von Langerfeld,Netherlands,male,1635
R. Ramachandra Rao,India,male,1871
Ibn Ghazi al-Miknasi,,male,1437
Joseph Gillis,United Kingdom,male,1911
Hervé Jacquet,France,male,1939
Jon Folkman,United States of America,male,1938
Gyula Farkas (natural scientist),Hungary,male,1847
Stanley Osher,United States of America,male,1942
Willi Jäger,Germany,male,1940
Paulo Pancatuccio,,male,
Manjul Bhargava,Canada,male,1974
Niels Erik Nørlund,Denmark,male,1885
Edward Witten,United States of America,male,1951
Raimundo Teixeira Mendes,Brazil,male,1855
Johannes Scheubel,Germany,male,1494
Levi L. Conant,United States of America,male,1857
Frédéric Pham,France,male,1938
Ayn al-Quzat Hamadani,Iran,male,1098
Verena Huber-Dyson,,female,1923
Wallie Abraham Hurwitz,United States of America,male,1886
Edgar Lorch,United States of America,male,1907
Ellen Kirkman,United States of America,female,
Camille-Christophe Gerono,France,male,1799
Yitzhak Katznelson,United States of America,male,1934
Cristina Possas,Brazil,female,1948
Adam Lonicer,Germany,male,1528
Ferdinando Pio Rosellini,,male,1814
Katrin Wendland,Germany,female,1970
Bruria Kaufman,Israel,female,1918
Melvin Hochster,United States of America,male,1943
Charles Read (mathematician),United Kingdom,male,1958
John Adrian Bondy,United Kingdom,male,1944
Cora Sadosky,Argentina,female,1940
Michael McQuillan (mathematician),United Kingdom,male,1900
Pierre Cartier (mathematician),France,male,1932
T. M. F. Smith,,male,
Matt Parker,Australia,male,
Moritz Wilhelm Drobisch,Germany,male,1802
Karl Rubin,United States of America,male,1956
Morris H. DeGroot,United States of America,male,1931
Richard Schwartz,United States of America,male,1966
Mary Frances Winston Newson,United States of America,female,1869
Gustav Doetsch,Germany,male,1892
Tom Bridgeland,United Kingdom,male,1973
Ruth Aaronson Bari,United States of America,female,1917
Eric Friedlander,United States of America,male,1944
Jean-Yves Jaffray,France,male,1939
George Atwood,United Kingdom of Great Britain and Ireland,male,1745
Andrew H. Wallace,,male,
André-Michel Guerry,France,male,1802
Jan Willem Nienhuys,Kingdom of the Netherlands,male,1942
Colin Mackenzie,India,male,1754
Giovanni Battista Amici,Duchy of Modena and Reggio,male,1786
Norman Lloyd Johnson,United States of America,male,1917
J. Ernest Wilkins Jr.,United States of America,male,1923
Cyrus Derman,United States of America,male,1925
Wealthy Babcock,,female,1895
Bertil Gustafsson,Sweden,male,1939
R. P. Gupta,India,male,
Rick Norwood,,male,1942
L. A. Sohnke,,male,
Mary Wynne Warner,United Kingdom,female,1932
Victor Kolyvagin,Russia,male,1900
Rom Varshamov,Armenia,male,1927
George Boole,United Kingdom,male,1815
Carolyn Eisele,United States of America,female,1902
William A. Dembski,United States of America,male,1960
Carlo Cercignani,Italy,male,1939
Ludwig Immanuel Magnus,,male,1790
Tatyana Pavlovna Ehrenfest,Kingdom of the Netherlands,female,1905
Andrew M. Bruckner,United States of America,male,1932
Paul Seidel,Switzerland,male,1970
Angelina Cabras,Italy,female,1898
Rekha R. Thomas,United States of America,female,
Laurence Baxter,,male,1954
Mikhail Gennadiyevich Dmitriyev,"Soviet Union, Russia",male,1947
Ruy Luís Gomes,Portugal,male,1905
Martin Kneser,Germany,male,1928
Bruno Dupire,,male,
Subbaramiah Minakshisundaram,,male,1913
Antoine Augustin Cournot,France,male,1801
Jean Du Breuil,France,male,1602
Adolf Krazer,Germany,male,1858
Gordana Matic,United States of America,female,
Mary Deconge,United States of America,female,1933
Carlo Miranda,Italy,male,1912
Wolfgang Gröbner,Austria,male,1899
Richard von Mises,Austria,male,1883
Giovanni Lodovico Longo,,male,1501
Thomas Willmore,United Kingdom,male,1919
John Caswell,,male,
Riaz Ahsan,Nigeria,male,1951
John Maynard Keynes,United Kingdom,male,1883
Wilfred Cockcroft,United Kingdom,male,1923
Jan Willem Klop,Kingdom of the Netherlands,male,1945
Michael Viscardi,United States of America,male,1989
Cécile DeWitt-Morette,France,female,1922
Ehrenfried Walther von Tschirnhaus,Germany,male,1651
João Marques Silva,,male,
Karl Eduard Zetzsche,Germany,male,1830
Victor Omololu Olunloyo,Nigeria,male,1935
Ernesto Mordecki,Uruguay,male,1962
Max Mason,United States of America,male,1877
Viktor Trkal,,male,1888
Vanaja Iyengar,,female,
Walter Gage,Canada,male,1905
Ronald Fedkiw,United States of America,male,1968
Isaac Argyros,Byzantine Empire,male,1300
Ronald DeVore,United States of America,male,1941
Richard Thomas (mathematician),United Kingdom,male,1900
Ralph Lent Jeffery,,male,1889
Francis B. Hildebrand,United States of America,male,1915
Sergei Petrovskii,,male,
George Adams Kaufmann,United Kingdom,male,1894
Birgit Speh,United States of America,female,1949
Kazimierz Bartel,"Austria-Hungary, Poland",male,1882
Heiko Harborth,Germany,male,1938
Al-Saghani,Abbasid Caliphate,male,
Abu Mashar al-Balkhi,Iran,male,787
Bernt Michael Holmboe,Norway,male,1795
Daniel Bump,United States of America,male,1952
Skip Garibaldi,United States of America,male,
Rose Peltesohn,Israel,female,1913
Willem Jacob van Stockum,Kingdom of the Netherlands,male,1910
Alexander Esenin-Volpin,"United States of America, Soviet Union",male,1924
Johann Andreas Segner,Germany,male,1704
Gisbert Hasenjaeger,Germany,male,1919
Luiz Velho,,male,1956
Mark Mahowald,United States of America,male,1931
Jai Singh II,,male,1688
John C. Baez,United States of America,male,1961
Bill Chen,United States of America,male,1970
Ruslan Stratonovich,"Soviet Union, Russia",male,1930
Malcolm J. Williamson,United Kingdom,male,1950
Victor Schlegel,,male,1843
Brian Conrad,United States of America,male,1970
Dmitry Feichtner-Kozlov,,male,1972
Jyeṣṭhadeva,,male,1500
Virgil Snyder,United States of America,male,1869
Pankaj K. Agarwal,India,male,
Boaz Tsaban,,male,
Neil Chriss,United States of America,male,1967
Gilles Van Assche,,male,
Martin J. Taylor,United Kingdom,male,1952
Andres Luure,Estonia,male,1959
Chidambara Chandrasekaran,India,male,1911
Emilio Artom,Italy,male,1888
Kentaro Yano (mathematician),Japan,male,1912
Abū Kāmil Shujāʿ ibn Aslam,Egypt,male,800
Kirsti Andersen,Denmark,female,1941
Alfred Barnard Basset,United Kingdom,male,1854
Paul Malliavin,France,male,1925
Alexis Hocquenghem,France,male,1908
David Widder,United States of America,male,1898
Jean-Baptiste de La Chapelle,France,male,1710
Éva Tardos,Hungary,female,1957
Hjalmar Magnus Eklund,Finland,male,1880
Hans Hamburger,Germany,male,1889
Władysław Orlicz,Poland,male,1903
John Mackintosh Howie,United Kingdom,male,1936
Charles Epstein,United States of America,male,1957
James Colliander,United States of America,male,1967
Selig Brodetsky,United Kingdom,male,1888
Franz Aurenhammer,,male,
Athanassios S. Fokas,Greece,male,1952
Boleslav Mlodzeevskii,Soviet Union,male,1858
Augustin Hirschvogel,,male,1503
Samuel Roberts (mathematician),United Kingdom,male,1827
Humphrey Baker,,male,
Luigi Sante Da Rios,Italy,male,1881
André Joyal,Canada,male,1943
Henri Hogbe Nlend,Cameroon,male,1939
Jens Marklof,Germany,male,1971
Murad Taqqu,United States of America,male,1942
Jacob Bronowski,United Kingdom,male,1908
Antonio Signorini,Italy,male,1888
Robert Coveyou,United States of America,male,1915
Alexander Rinnooy Kan,Kingdom of the Netherlands,male,1949
James Lockhart (banker),,male,1763
Leonhard Euler,"Old Swiss Confederacy, Russian Empire, Kingdom of Prussia, Switzerland",male,1707
Prabhu Lal Bhatnagar,India,male,1912
Josiah Scott,United States of America,male,1803
Nimrod Megiddo,Israel,male,1900
Nikolay Krasovsky,"Soviet Union, Russia",male,1924
James H. Bramble,United States of America,male,1930
Joel Tropp,United States of America,male,1977
John Lighton Synge,Ireland,male,1897
Sigurður Helgason (mathematician),,male,1927
Geir Ellingsrud,Norway,male,1948
David Jesson,,male,1935
Alan Sokal,United States of America,male,1955
Pieter Moree,Kingdom of the Netherlands,male,1965
Abdus Salam,Pakistan,male,1926
Corrado Gini,Italy,male,1884
Thomas W. Hungerford,United States of America,male,1936
Patrick du Val,United Kingdom,male,1903
Maximilian Herzberger,United States of America,male,1899
John Henry Poynting,United Kingdom,male,1852
Yaʿīsh ibn Ibrāhīm al-Umawī,,male,1400
Eric Jakeman,,male,
Vivienne Malone-Mayes,United States of America,female,1932
Hans Fitting,Germany,male,1906
Regina Tyshkevich,,female,1929
Shlomo Sternberg,United States of America,male,1936
Robert James Blattner,United States of America,male,1931
Luc Vinet,Canada,male,1953
Paul Glendinning,United Kingdom,male,1964
Walter Edwin Arnoldi,United States of America,male,1917
Gustav Roch,Germany,male,1839
Heinz Engl,Austria,male,1953
John Lehoczky,,male,
Fathi Shaqaqi,Palestine,male,1951
Peter Shor,United States of America,male,1959
Gary Chartrand,United States of America,male,1936
John Brian Helliwell,,male,
Gaetano Scorza,Kingdom of Italy,male,1876
Frances Hardcastle,United Kingdom,female,1866
Jakob Philipp Kulik,Austria,male,1793
Wenzeslaus Johann Gustav Karsten,Germany,male,1732
Edward Waring,United Kingdom,male,1736
Jalal Allakhverdiyev,Azerbaijan,male,1929
Johann Heinrich Lambert,"Switzerland, France",male,1728
Bernard Lamy,France,male,1640
Caroline Herschel,Germany,female,1750
Al-Kindi,Abbasid Caliphate,male,801
"David M. Young, Jr.",United States of America,male,1923
Wilbur Knorr,United States of America,male,1945
Auguste-Savinien Leblond,France,male,1760
Georgy Voronoy,Russian Empire,male,1868
Krassimir Atanassov,Bulgaria,male,1954
Lionel Cooper (mathematician),United Kingdom,male,1915
Bernt Øksendal,Norway,male,1945
Zygmunt Zalcwasser,,male,1898
Nalini Joshi,Australia,female,
Lucy R. Wyatt,United Kingdom,female,
Enrico Giusti,Italy,male,1940
Stefano Montaldo,,male,
Maria Chudnovsky,Israel,female,1977
Louis Weisner,,male,1899
Juan de Alcega,Spain,male,1500
Ramanathan Gnanadesikan,United States of America,male,1932
Sylvia Serfaty,France,female,1975
Paul Biran,Israel,male,1969
Hans-Jürgen Borchers,Germany,male,1926
Anaximenes of Miletus,,male,-585
Arkadi Nemirovski,United States of America,male,1947
Robert McNair Ferguson,,male,1829
James Ireland Craig,,male,1868
Hans Ferdinand Mayer,Germany,male,1895
Ferdinand Gonseth,Switzerland,male,1890
Warwick Tucker,Australia,male,1970
Walther von Dyck,Germany,male,1856
Peter Jaeckel,,male,
Ibrāhīm al-Fazārī,Abbasid Caliphate,male,
Richard L. Bishop,United States of America,male,1932
Jorge Urrutia Galicia,,male,
Oberto Cantone,Italy,male,
Wojciech Samotij,,male,
André-Marie Ampère,France,male,1775
Li Chunfeng,,male,602
Erik Alfsen,Norway,male,1930
Alan Davies (mathematician),,male,1945
Eugène Charles Catalan,Belgium,male,1814
Sheila Scott Macintyre,Scotland,female,1910
Burton Wadsworth Jones,United States of America,male,1902
P. Kanagasabapathy,Sri Lanka,male,1923
Émile Léonard Mathieu,France,male,1835
Alexandros Chapsiadis,Greece,male,1946
Awi Federgruen,Kingdom of the Netherlands,male,1950
Kaisa Matomäki,,female,1985
Otto Blumenthal,Germany,male,1876
Reza Sadeghi (mathematician),Iran,male,1977
Abu Nasr Mansur,Iran,male,960
Giusto Bellavitis,Kingdom of Italy,male,1803
Giovanni Antonelli,Kingdom of Italy,male,1818
Benjamin Alvord (mathematician),United States of America,male,1813
Hirotugu Akaike,Japan,male,1927
Vikraman Balaji,,male,
Hermann Flaschka,United States of America,male,1945
Denis Higgs,South Africa,male,1932
John Watt Butters,,male,1863
George F. Simmons,,male,
Evgraf Fedorov,Russian Empire,male,1853
Thomas Royen,Germany,male,1947
Heinrich Jung,Germany,male,1876
Peter Montgomery (mathematician),United States of America,male,1947
Chia-Kun Chu,,male,
Tristram Jones-Parry,,male,
Joseph Larmor,United Kingdom,male,1857
John B. Garnett,United States of America,male,1940
Charles Loewner,United States of America,male,1893
Hermann Boerner,Germany,male,1906
Boris Kordemsky,Russia,male,1907
Alexandre-Théophile Vandermonde,France,male,1735
Klara Löbenstein,Germany,female,1883
Jacob Lüroth,Germany,male,1844
Thomas Hood (mathematician),,male,1556
Laura DeMarco,United States of America,female,1974
Jack Kiefer (statistician),United States of America,male,1924
Charles Mathieu Schols,Kingdom of the Netherlands,male,1849
Marjorie Rice,United States of America,female,1923
Gustave Solomon,United States of America,male,1930
Marcos Dajczer,,male,1948
Robert Thomas Seeley,United States of America,male,1932
Mohammed ibn Abdun al-Jabali,,male,
Norman Packard,United States of America,male,1954
C. P. Ramanujam,India,male,1887
Thomas Shaw Brandreth,United Kingdom,male,1788
Roy Adler,United States of America,male,1931
Graciela Chichilnisky,Argentina,female,1944
Nikolay Konstantinov,Russia,male,1932
Sergey M. Bezrukov,United States of America,male,
Nicholas Polson,United States of America,male,1963
Stephan Cohn-Vossen,"Weimar Republic, Germany, Soviet Union",male,1902
Jayadeva (mathematician),,male,
R. Tyrrell Rockafellar,United States of America,male,1935
Samuel Beatty (mathematician),Canada,male,1881
Eugene Grebenik,,male,1919
William Lawrence Kocay,United States of America,male,
Urs Schreiber,,male,1974
George Batchelor,Australia,male,1920
Kevin McCurley (cryptographer),United States of America,male,
Johannes de Muris,France,male,1300
Percy John Heawood,United Kingdom,male,1861
William Richard Joseph Cook,,male,1905
Yoshiharu Kohayakawa,,male,1963
Joichi Suetsuna,,male,1898
Pāṇini,Gandhara,male,400
Aryabhata,India,male,476
James Oxley,"United States of America, Australia",male,
James Jardine,,male,1776
Václav Hlavatý,United States of America,male,1894
Antoine Gombaud,France,male,1607
John Adair (surveyor),,male,1660
Carlo Alberto Castigliano,Kingdom of Italy,male,1847
Ali Abkar,Iran,male,1963
Stephen Gelbart,United States of America,male,1946
Malcolm Ludvigsen,United Kingdom,male,1946
Robert Adolfovich Minlos,Russia,male,1931
Leonard Porter Ayres,United States of America,male,1879
Donald Cochrane (economist),Australia,male,1917
Brian Tovey,United Kingdom,male,1926
Thomas Baxter (mathematician),,male,
Henryk Zygalski,Poland,male,1908
Jarkko Kari,Finland,male,1964
Christophe Breuil,France,male,1968
Abul-Hasan al-Uqlidisi,,male,
Paul Althaus Smith,United States of America,male,1900
Edna Kramer,United States of America,female,1902
Jia Xian,,male,1010
William Scott (astronomer and clergyman),Australia,male,1825
David A. Cox,United States of America,male,1948
Arthur Wieferich,Germany,male,1884
Petr Vopěnka,Czech Republic,male,1935
August Beer,Germany,male,1825
Jan Graliński,,male,1895
Erwin Engeler,Switzerland,male,1930
Lloyd Shapley,United States of America,male,1923
Posidonius,,male,-135
Samuel Hunter Christie,United Kingdom,male,1784
James Milne (mathematician),New Zealand,male,1942
Norman Fenton,United Kingdom,male,1956
George Murray Burnett,,male,1921
Julian Coolidge,United States of America,male,1873
Giambattista Magistrini,,male,1777
Kazimierz Żorawski,Poland,male,1866
John Dalgleish Donaldson,Australia,male,1941
"Sir George Stokes, 1st Baronet","Ireland, United Kingdom",male,1819
Alice Lee,,female,1858
Peter Gavin Hall,Australia,male,1951
Chike Obi,Nigeria,male,1921
Noga Alon,Israel,male,1956
Joachim Nitsche,Germany,male,1926
Thomas Willwacher,,male,1983
Lalla,,male,720
Sophie Germain,France,female,1776
Martin Schottenloher,,male,
Richard Arnold Epstein,United States of America,male,1927
Vladimir Miklyukov,Russia,male,1944
YoungJu Choie,,female,
Rajeeva Laxman Karandikar,India,male,1956
Hans Schneider (mathematician),United Kingdom,male,1927
Henk Zijm,Kingdom of the Netherlands,male,1952
Victor Shestakov,"Russian Empire, Soviet Union",male,1907
Constantino Tsallis,Brazil,male,1943
Guillaume de lHôpital,France,male,1661
William Fleetwood Sheppard,,male,1863
Roger Cotes,United Kingdom,male,1682
Ralph H. Fowler,United Kingdom,male,1889
Volkert Simon Maarten van der Willigen,Kingdom of the Netherlands,male,1822
Jean-Charles Faugère,,male,
John Rhodes (mathematician),United States of America,male,1937
Henry Sanborn Noyes,United States of America,male,1822
Ibn al-Banna al-Marrakushi,Morocco,male,1256
Anatole Beck,United States of America,male,1930
Frederick Gehring,United States of America,male,1925
Paul Kocher,United States of America,male,1973
Gilles de Roberval,France,male,1602
Morris Hirsch,United States of America,male,1933
Shahn Majid,United Kingdom,male,1960
Laszlo B. Kish,Hungary,male,1955
Lai-Sang Young,United States of America,female,1952
Arnoldo Frigessi,Italy,male,1959
Lorenz Leonard Lindelöf,Russian Empire,male,1827
Kai Behrend,Germany,male,1900
Isaiah Kantor,,male,1936
Deryk Osthus,,male,1974
Stephen Warshall,United States of America,male,1935
S. Shankar Sastry,,male,
Gerard Murphy (mathematician),Ireland,male,1948
Hieronymus Georg Zeuthen,Denmark,male,1839
Thomas Gerald Room,Australia,male,1902
Florence Eliza Allen,United States of America,female,1876
Yoichi Miyaoka,,male,1949
Hans-Joachim Nastold,Germany,male,1929
Pasquale del Pezzo,"Sweden, Kingdom of Italy",male,1859
Donald B. Gillies,Canada,male,1929
Ian Goldberg,Canada,male,1973
Lev M. Bregman,Soviet Union,male,1941
Xinwen Zhu,,,
Hubert Kennedy,United States of America,male,1931
Kaoru Ishikawa,Japan,male,1915
Hannah Fry,,female,
John Wilson (mathematician),United Kingdom,male,1741
Robert Lazarsfeld,United States of America,male,1953
Mohamed Amine Sbihi,Morocco,male,1954
Dietrich Mahnke,Germany,male,1884
Ricardo Mañé,"Uruguay, Brazil",male,1948
Sabine Van Huffel,,female,
Scott W. Williams,United States of America,male,1943
James Hadley (American scholar),United States of America,male,1821
Howard Masur,United States of America,male,1949
D. J. Finney,,male,1917
Raymond McLenaghan,,male,1939
István Gyöngy,Hungary,male,1951
Charles Parsons (philosopher),United States of America,male,1933
Gopal Prasad,United States of America,male,1945
Viggo Brun,Norway,male,1885
Leodamas of Thasos,,male,
Walter Warwick Sawyer,United Kingdom,male,1911
Hannes Keller,Switzerland,male,1934
Mark Barr,United States of America,male,1871
David Clayton,,male,1944
Guillermo Owen,Colombia,male,1938
Aise Johan de Jong,Kingdom of the Netherlands,male,1966
Leo Katz (statistician),United States of America,male,1914
Murray Gerstenhaber,United States of America,male,1927
Pamela Cook,,female,
Carl Anton Bretschneider,Germany,male,1808
Olga Bondareva,Soviet Union,female,1937
Georg Cantor,German Empire,male,1845
Hermann Vermeil,Germany,male,1889
Francis Joseph Murray,United States of America,male,1911
Jennifer Seberry,Australia,female,1944
Ernst Kötter,Germany,male,1859
Harry Vandiver,United States of America,male,1882
Ulugh Beg,,male,1394
Ebadollah S. Mahmoodian,Iran,male,
William Edward Story,United States of America,male,1850
E. Roy Weintraub,United States of America,male,1943
Gilbert Stengle,Canada,male,1933
Thomas Chalmers,United Kingdom,male,1780
Mitio Nagumo,Japan,male,1905
Anatol Slissenko,,male,1941
Dionysodorus,,male,-250
Poondi Kumaraswamy,India,male,1930
Hans-Egon Richert,Germany,male,1924
Nicolas Rashevsky,United States of America,male,1899
Karin Erdmann,Germany,female,1948
Nicomachus,Ancient Rome,male,60
Matthew OBrien (mathematician),,male,1814
Sigmund Gundelfinger,Germany,male,1846
T. A. Sarasvati Amma,India,female,1918
Georges Skandalis,Greece,male,1955
Frank Nelson Cole,United States of America,male,1861
Carl King-Millward,,male,1935
Daniel Biss,United States of America,male,1977
Muriel Kennett Wales,,female,1913
Yvette Amice,France,female,1936
Yuri Luchko,Germany,male,
Paul Gordan,German Empire,male,1837
Hermann Weyl,"German Empire, Weimar Republic, United States of America",male,1885
Carolyne Van Vliet,Kingdom of the Netherlands,female,1929
Michael Shackleford,United States of America,male,1965
Francis Robbins Upton,United States of America,male,1852
Ernie Tuck,Australia,male,1939
Robert Fortet,France,male,1912
William Spottiswoode,United Kingdom,male,1825
Peter Landrock,,male,1948
Robert Feys,,male,1889
John H. Walter,United States of America,male,
Winifred Margaret Deans,,female,1901
Leslie Greengard,United States of America,male,1958
Thomas Joannes Stieltjes,"Kingdom of the Netherlands, France",male,1856
Claude Sabbah,France,male,1954
