name,country,gender,birth_year
Ctesibius,Ptolemaic dynasty,male,-284
Ralph Grimaldi,United States of America,male,1943
Joan Francés Fulcònis,France,male,1520
D. D. Morduhai-Boltovskoi,"Russian Empire, Soviet Union",male,1876
Arthur Harold Stone,United Kingdom,male,1916
Prabhakar Raghavan,India,male,1960
Lazarus Bendavid,Germany,male,1762
Margaret Clement,United Kingdom,female,1508
Anatoly Karatsuba,Russia,male,1937
Jacqueline Ferrand,France,female,1918
Stephen Milne (mathematician),United States of America,male,1900
Walter A. Shewhart,United States of America,male,1891
Marie Farge,France,female,1953
Géza Grünwald,Hungary,male,1910
Olga Holtz,Russia,female,1973
Zygmunt Vetulani (mathematician),Poland,male,1950
Angelo Genocchi,Kingdom of Italy,male,1817
Carlos Albán,Colombia,male,1844
Rüdiger Valk,Germany,male,1945
Rudolf Inzinger,Austria,male,1907
Neil Robertson (mathematician),United States of America,male,1938
Carlos J. Moreno,"United States of America, Colombia",male,1946
Frank Matthews Leslie,,male,1935
Tiberiu Popoviciu,Romania,male,1906
Solomon Lefschetz,United States of America,male,1884
Eduard Study,Germany,male,1862
René Thom,France,male,1923
Robert Kupperman,United States of America,male,1935
Nikolai Bugaev,Russian Empire,male,1837
Yom Tov Lipman Lipkin,"Lithuania, Russian Empire",male,1846
Eric Stephen Barnes,Australia,male,1924
Robert H. Coats,,male,1874
Carl Hierholzer,Germany,male,1840
A. Ross Eckler,United States of America,male,1901
Ignatius Carbonnelle,Belgium,male,1829
Michael Stifel,Germany,male,1487
Martin Folkes,United Kingdom,male,1690
Frank J. Ayres,United States of America,male,1901
Paul Dedecker,Belgium,male,1921
Lev Schnirelmann,Soviet Union,male,1905
Peter G. Casazza,,male,
Raphael Levi Hannover,Germany,male,1685
Kurt Leichtweiss,Germany,male,1927
Walter Foster (mathematician),Kingdom of England,male,
Tadeusz Kotarbiński,Poland,male,1886
David Minda,United States of America,male,
Claudia Zaslavsky,,female,1917
Edward H. Simpson,United Kingdom,male,1922
Dwight Duffus,United States of America,male,
Leonard Ornstein,Kingdom of the Netherlands,male,1880
F. H. Jackson,,male,1870
Willford I. King,United States of America,male,1880
Sophie Bryant,,female,1850
Joseph Tilly,Belgium,male,1837
George Shuckburgh-Evelyn,Kingdom of Great Britain,male,1751
Hubert Bray,United States of America,male,1900
Henry P. H. Bromwell,United States of America,male,1823
J. W. S. Cassels,United Kingdom,male,1922
Melpathur Narayana Bhattathiri,India,male,1560
John Grue,Norway,male,1957
Kenji Ueno,Japan,male,1945
Arthur Engel (mathematician),Germany,male,1928
A. Edward Nussbaum,United States of America,male,1925
Charles Brenner (mathematician),United States of America,male,1945
Sanford L. Segal,United States of America,male,1937
Henricus Brucaeus,Germany,male,1530
Juan de Celaya,Spain,male,1490
Levon Aghababyan,,male,1887
Jaroslav Kurzweil,Czech Republic,male,1926
You-Dong Liang,,male,1935
Julius Petersen,Denmark,male,1839
Francesco Barberino Benici,,male,1642
Michael Aschbacher,United States of America,male,1944
Gert Sabidussi,Canada,male,1929
Bertram Kostant,United States of America,male,1928
Arnaud Denjoy,France,male,1884
Notker Labeo,Germany,male,950
Christian Goldbach,Prussia,male,1690
Harvey P. Greenspan,,male,1933
Steven Haberman,United Kingdom,male,1951
Dorit S. Hochbaum,,female,
Jarl Waldemar Lindeberg,"Finland, Russian Empire",male,1876
Sifeng Liu,,,
Gaspare Mainardi,Kingdom of Italy,male,1800
Herman Otto Hartley,United States of America,male,1912
Daniel J. Bernstein,United States of America,male,1971
Shihoko Ishii,Japan,female,1950
Eric Temple Bell,"United Kingdom, United States of America",male,1883
Miklós Bóna,United States of America,male,1967
Gottlob Frege,Germany,male,1848
Shing-Tung Yau,"United States of America, British Hong Kong",male,1949
Peter V. E. McClintock,United Kingdom,male,1940
Eugene M. Luks,United States of America,male,1940
Léon Bottou,France,male,1965
Brahmadeva,India,male,1060
Yves Laszlo,,male,
Eric Goles,Chile,male,1951
Yang Hui,China,male,1238
Robert Edmund OMalley,United States of America,male,1939
Benson Farb,United States of America,male,1967
John Backus,United States of America,male,1924
Éamon de Valera,"United States of America, Ireland",male,1882
Ralph Greatorex,,male,
Felix Berezin,Soviet Union,male,1931
Pierre Frédéric Sarrus,France,male,1798
Edward Szturm de Sztrem,Poland,male,1885
Wilhelm Ackermann,"German Empire, Weimar Republic, Nazi Germany, Germany",male,1896
Vera Pawlowsky-Glahn,Spain,female,1951
David Orrell,Canada,male,1962
Carlos Conca,Chile,male,1954
Leonty Magnitsky,Russian Empire,male,1669
Daniel Lightwing,,male,
Helmut Grunsky,Germany,male,1904
Colm Mulcahy,,male,1958
Mojżesz David Kirszbraun,,male,1903
Ernest Michael,United States of America,male,1925
Anna Mullikin,United States of America,female,1893
Paul Fearnhead,,male,
Philipp Ludwig von Seidel,"German Confederation, German Empire",male,1821
Katsumi Nomizu,Japan,male,1924
Michael Freedman,United States of America,male,1951
Sze-Tsen Hu,"""Peoples Republic of China""",male,1914
S. R. Ranganathan,India,male,1892
Torkel Franzén,Sweden,male,1950
Meyer Jerison,United States of America,male,1922
Jean-Baptiste Morin (mathematician),France,male,1583
Gerhard Geise,Germany,male,1930
Otakar Borůvka,Czech Republic,male,1899
Sergiu Hart,Israel,male,1949
Axel Thue,Norway,male,1863
Hermann Bondi,United Kingdom,male,1919
Marcel-Paul Schützenberger,France,male,1920
Alexey Gorgidze,"Russian Empire, Democratic Republic of Georgia, Soviet Union, Georgia",male,1907
Evgeny Yakovlevich Remez,"Russian Empire, Soviet Union",male,1896
Marie-Françoise Roy,France,female,1950
Felix Klein,"German Confederation, German Empire, Weimar Republic",male,1849
Robert Simpson Woodward,United States of America,male,1849
Peter Balazs (mathematician),Austria,male,1970
Umaswati,India,male,
Arthur Stanley Ramsey,United Kingdom,male,1867
Sergey Nikolsky,"Russia, Soviet Union",male,1905
Anneli Cahn Lax,United States of America,female,1922
Joseph J. Rotman,,male,1934
John Edensor Littlewood,United Kingdom,male,1885
Issachar ben Mordecai ibn Susan,,male,
Peter Keevash,United Kingdom,male,1978
Laurent C. Siebenmann,France,male,1939
Anaxagoras,,male,-500
John Leech (mathematician),United Kingdom,male,1926
Yuri Linnik,Soviet Union,male,1914
Dennis DeTurck,United States of America,male,1954
